id,label,group
S3,"26.05.07 Эксплуатация судового электрооборудования и средств автоматики,",Специальность
UK01,УК-1,УК
UK02,УК-2,УК
UK03,УК-3,УК
UK04,УК-4,УК
UK05,УК-5,УК
UK06,УК-6,УК
UK07,УК-7,УК
UK08,УК-8,УК
UK09,УК-9,УК
UK10,УК-10,УК
OPK1,ОПК-1,ОПК
OPK2,ОПК-2,ОПК
OPK3,ОПК-3,ОПК
OPK4,ОПК-4,ОПК
OPK5,ОПК-5,ОПК
OPK6,ОПК-6,ОПК
PK0701,ПК-1,ПК (электромеханик)
PK0702,ПК-2,ПК (электромеханик)
PK0703,ПК-3,ПК (электромеханик)
PK0704,ПК-4,ПК (электромеханик)
PK0705,ПК-5,ПК (электромеханик)
PK0706,ПК-6,ПК (электромеханик)
PK0707,ПК-7,ПК (электромеханик)
PK0708,ПК-8,ПК (электромеханик)
PK0709,ПК-9,ПК (электромеханик)
PK0710,ПК-10,ПК (электромеханик)
PK0711,ПК-11,ПК (электромеханик)
PK0712,ПК-12,ПК (электромеханик)
PK0713,ПК-13,ПК (электромеханик)
PK0714,ПК-14,ПК (электромеханик)
PK0715,ПК-15,ПК (электромеханик)
PK0716,ПК-16,ПК (электромеханик)
PK0717,ПК-17,ПК (электромеханик)
PK0718,ПК-18,ПК (электромеханик)
PK0719,ПК-19,ПК (электромеханик)
PK0720,ПК-20,ПК (электромеханик)
PK0721,ПК-21,ПК (электромеханик)
PK0722,ПК-22,ПК (электромеханик)
PK0723,ПК-23,ПК (электромеханик)
PK0724,ПК-24,ПК (электромеханик)
PK0725,ПК-25,ПК (электромеханик)
PK0726,ПК-26,ПК (электромеханик)
PK0727,ПК-27,ПК (электромеханик)
PK0728,ПК-28,ПК (электромеханик)
D0701,Б1.В.01 Языки программирования технических систем управления,Дисциплина (электромеханик)
D0702,Б1.В.02 Промышленные контроллеры,Дисциплина (электромеханик)
D0703,Б1.В.03 Диагностика и ремонт электрических машин,Дисциплина (электромеханик)
D0704,Б1.В.04 Комутационная и защитная аппаратура,Дисциплина (электромеханик)
D0705,Б1.В.05 Управление социально трудовыми отношениями в судовых экипажах,Дисциплина (электромеханик)
D0706,Б1.В.06 Средства внешней и внутренней связи,Дисциплина (электромеханик)
D0707,Б1.В.07 Моделирование судового электрооборудования и средств автоматизации,Дисциплина (электромеханик)
D0708,Б1.В.08 Электротехнические материалы и технологии,Дисциплина (электромеханик)
D0709,Б1.В.09 Электрорадионавигационные системы и приборы,Дисциплина (электромеханик)
D0710,Б1.В.10 Цифровая электроника,Дисциплина (электромеханик)
D0711,Б1.В.11 Судовое технологическое оборудование,Дисциплина (электромеханик)
D0712,Б1.В.12.01 Практическая подготовка на тренажере морской подготовки,Дисциплина (электромеханик)
D0713,Б1.В.ДВ.01.01 Судовые электрические сети и светотехника,Дисциплина (электромеханик)
D0714,Б1.В.ДВ.01.02 Нетрадиционные источники электрической энергии,Дисциплина (электромеханик)
D0715,Б1.В.ДВ.02.01Электропожаробезопасность высоковольтных судовых,Дисциплина (электромеханик)
D0716,Б1.В.ДВ.02.02 Техническая эксплуатация судовых систем напряжением свыше 1000 вольт,Дисциплина (электромеханик)
D0717,Б1.В.ДВ.03.01 Практическая подготовка техническое использование и обслуживание САЭЭС,Дисциплина (электромеханик)
D0718,Б1.В.ДВ.03.02 Практическая подготовка техническое использование СВЕАЭЭС,Дисциплина (электромеханик)
D0719,Б1.В.ДВ.04.01 Электронная схемотехника,Дисциплина (электромеханик)
D0720,Б1.В.ДВ.04.02 Аналоговая электроника,Дисциплина (электромеханик)
D0721,Б1.В.ДВ.05.01 Системы управления энергетическими ппроцессами,Дисциплина (электромеханик)
D0722,Б1.В.ДВ.05.02 Управление техническим обеспечением безопасности судов,Дисциплина (электромеханик)
D0723,Б1.В.ДВ.06.01 Судовые компьютерные сети,Дисциплина (электромеханик)
D0724,Б1.В.ДВ.06.02 Информационные технологии в эксплуатации судового электроэнергетического оборудования,Дисциплина (электромеханик)
D0725,Б1.В.ДВ.07.01 Спортивные игры,Дисциплина (электромеханик)
D0726,Б1.В.ДВ.07.02 Общая физическая подготовка,Дисциплина (электромеханик)
D0727,Б1.В.ДВ.07.03 Плавание,Дисциплина (электромеханик)
D0728,Б1.В.ДВ.07.04 Адаптивная физическая культура,Дисциплина (электромеханик)
D0729,Б1.О.01 История России,Дисциплина (электромеханик)
D0730,Б1.О.02 Философия,Дисциплина (электромеханик)
D0731,Б1.О.03 БЖД,Дисциплина (электромеханик)
D0732,Б1.О.04 ФКиС,Дисциплина (электромеханик)
D0733,Б1.О.05 Иностранный язык,Дисциплина (электромеханик)
D0734,Б1.О.06 Формирование социальной КП,Дисциплина (электромеханик)
D0735,Б1.О.07 Экономика,Дисциплина (электромеханик)
D0736,Б1.О.08 ОРГ,Дисциплина (электромеханик)
D0737,Б1.О.09 Русский язык в ПК,Дисциплина (электромеханик)
D0738,Б1.О.10 Противодействие экстремизму,Дисциплина (электромеханик)
D0739,Б1.О.11 Правоведение,Дисциплина (электромеханик)
D0740,Б1.О.12 История транспорта России,Дисциплина (электромеханик)
D0741,Б1.О.13 Высшая математика,Дисциплина (электромеханик)
D0742,Б1.О.14 Информатика,Дисциплина (электромеханик)
D0743,Б1.О.15 Физика,Дисциплина (электромеханик)
D0744,Б1.О.16 Химия,Дисциплина (электромеханик)
D0745,Б1.О.17 Начертательная геометрия и инженерная графика,Дисциплина (электромеханик)
D0746,Б1.О.18 Экология,Дисциплина (электромеханик)
D0747,Б1.О.19 Теоретическая механика,Дисциплина (электромеханик)
D0748,Б1.О.20 Прикладная механика,Дисциплина (электромеханик)
D0749,Б1.О.21 Материаловедение и технологии конструкционных материалов,Дисциплина (электромеханик)
D0750,Б1.О.22 Метрология стандартизация и сертификация,Дисциплина (электромеханик)
D0751,Б1.О.23 Теория и устройство судна,Дисциплина (электромеханик)
D0752,Б1.О.24 Основы технической эксплуатации судового электрооборудования и средств автоматизации,Дисциплина (электромеханик)
D0753,Б1.О.25 Теоретические основы электротехники,Дисциплина (электромеханик)
D0754,Б1.О.26 Судовые электрические машины,Дисциплина (электромеханик)
D0755,Б1.О.27 Судовая электроника и силовая преобразовательная техника,Дисциплина (электромеханик)
D0756,Б1.О.28 Судовые электроприводы,Дисциплина (электромеханик)
D0757,Б1.О.29 Судовые информационно-измерительные системы,Дисциплина (электромеханик)
D0758,Б1.О.30 Судовые автоматизированные электроэнергетические системы,Дисциплина (электромеханик)
D0759,Б1.О.31 Теория автоматического управления,Дисциплина (электромеханик)
D0760,Б1.О.32 Микропроцессорные системы управления,Дисциплина (электромеханик)
D0761,Б1.О.33 Элементы и функциональные устройства автоматики,Дисциплина (электромеханик)
D0762,Б1.О.34 Судовые энергетические установки,Дисциплина (электромеханик)
D0763,Б1.О.35 Гребные электрические установки,Дисциплина (электромеханик)
D0764,Б1.О.36 Основы научных исследований,Дисциплина (электромеханик)
D0765,ФТД.01 Курс подготовки экипажей гражданских судов,Дисциплина (электромеханик)
D0766,ФТД.02 Научно-исследовательская работа 1,Дисциплина (электромеханик)
D0767,ФТД.03 Научно-исследовательская работа 2,Дисциплина (электромеханик)
D0768,ФТД.04 Подготовка электрика судового,Дисциплина (электромеханик)
AII1,A-II/1,ПДНВ
AII2,A-II/2,ПДНВ
AI6,A-I/6,ПДНВ
AIII1,A-III/1,ПДНВ
AIII2,A-III/2,ПДНВ
AIV2,A-IV/2,ПДНВ
AV1,A-V/1,ПДНВ
AV11,A-V/1-1,ПДНВ
AV12,A-V/1-2,ПДНВ
AVI1,A-VI/1,ПДНВ
AVI2,A-VI/2,ПДНВ
AVI3,A-VI/3,ПДНВ
AVI4,A-VI/4,ПДНВ
AVI6,A-VI/6,ПДНВ
AVI5,A-VI/5,ПДНВ
AVI14,A-VI/1-4,ПДНВ
AVI41,A-VI/4-1,ПДНВ
AVIII2,A-VIII/2,ПДНВ
